AccountSource,
Account_Manager__c,
Account_Tier__c,
Acquisition_Program_Name__c,
AnnualRevenue,
Assigned_CSM__c,
BASS_Subscription_Id__c,170430.0
Backupify_Certified__c,
Backupify_Logins__c,
BillingAddress,"{""city""=>nil, ""country""=>""Czech Republic"", ""countryCode""=>nil, ""geocodeAccuracy""=>nil, ""latitude""=>nil, ""longitude""=>nil, ""postalCode""=>nil, ""state""=>nil, ""stateCode""=>nil, ""street""=>nil}"
BillingCity,
BillingCountry,Czech Republic
BillingLatitude,
BillingLongitude,
BillingPostalCode,
BillingState,
BillingStreet,
Business_Need_for_Backupify__c,
Child__c,
Churn_Notes__c,
Cloud_Forward_Scale__c,
Company_Size_by_Number_of_Employees__c,25 and Under
Competitor_Owned__c,
Competitor__c,
Contract_Renewal_Date__c,
CreatedById,00560000001PYIBAA4
CreatedDate,2015-03-23T15:29:28.000+0000
Current_Plan_Type__c,
Currently_In_a_GAPPS_Trial__c,true
Currently_in_a_SFDC_Trial__c,false
Customer_Status__c,
Customer_Success_Relationship__c,
Customers_Referred__c,
Datto_Products__c,
Description,
Domain_Users__c,11.0
Domain__c,real-line.cz
DunsNumber,
Employees__c,
Escalations_for_Quarter__c,
Fax,
Feature_Requests__c,
FreeSpace_Use_Date__c,
GAPPS_At_Risk__c,false
GAPPS_Backup_Last_Updated_By_BASS__c,2015-05-30T03:01:13.000+0000
GAPPS_Churn_Date__c,
GAPPS_Churn_Reason__c,
GAPPS_Churn__c,false
GAPPS_Number_of_Users_Being_Backed_Up__c,7.0
GAPPS_Paid_Start_Date__c,
GAPPS_Paid__c,false
GAPPS_Reseller_ID__c,
GAPPS_Total_Storage__c,3.0
Google_Alert_Cancel_URL__c,
Google_Alert_Search_Term_s__c,real-line.cz
Google_Alerts_to_Chatter_Status__c,
Google_Apps_Plan_ID__c,Enterprise
Google_Apps_Trial_End_Date__c,2015-04-07
Google_Apps_Trial_Start_Date__c,2015-03-23
Google_Apps__c,real-line.cz
Health_Score__c,5.0
Id,00132000019TzdkAAC
Industry,
IsDeleted,false
Jigsaw,
JigsawCompanyId,
LastActivityDate,2015-03-23
LastModifiedById,00560000001PYIBAA4
LastModifiedDate,2015-07-02T13:16:49.000+0000
LastReferencedDate,
LastViewedDate,
Last_Login__c,
Lead_Registration_Margin__c,
LeanData__LD_EmailDomain__c,
